sampleplotid,sampleplottype,volume,pinevol,sprucevol,decidvol,rad,blue,green,red,re1,re2,re3,nir,nirnarrow,swir1,swir2,hh,hv
423349,1,143.65,129.19,2.07,12.38,20,774.3681592,599.0159204,345.8955224,605.0527363,1657.439801,2070.573134,2043.079602,2269.545274,838.1880597,321.0208955,7053.802719,4014.301658
423350,1,47.63,4.61,20.11,22.92,20,791.697,686.5,428.922,756.233,1879.192,2312.892,2446.97,2566.455,1015.111,373.153,6239.324461,3095.207858
449539,1,208.04,208.04,0,0,20,770.5590864,599.0367428,351.6216485,585.2840119,1619.940417,2022.374379,2007.313803,2208.973188,748.1886792,297.5759682,7818.275159,4094.416561
449540,1,121.44,118.39,3.05,0,20,780.471,613.628,354.443,594.648,1652.198,2061.908,1989.755,2305.28,883.883,342.539,8254.762563,4335.120603
449541,1,114.01,110.83,3.18,0,20,771.9371884,578.6211366,346.5403789,560.8065803,1569.258225,1937.268195,1855.800598,2183.625125,834.2412762,325.3170489,8168.988608,3951.206329
449551,2,34.13,0,34.13,0,20,798.4731479,711.1315602,378.9072659,795.0069296,2028.996535,2426.163151,2350.698054,2699.840314,878.4409457,351.8680322,6610.26801,3588.899357
449857,1,191.31,0,0,191.31,20,794.4666002,676.6530409,460.5782652,781.7527418,2042.013958,2470.716849,2670.841476,2783.005982,1144.654038,443.2033898,7157.63728,3677.304786
449858,1,256.58,0,2.26,254.32,20,790.2912913,637.6216216,385.046046,692.8768769,2066.25025,2573.378378,2697.313313,2865.947948,1011.734735,375.6256256,6514.758883,4214.467005
483793,2,14.13,14.13,0,0,20,819.1171263,691.9980666,470.8881653,803.1333062,1829.231302,2161.619518,2114.867203,2387.686171,1153.188257,498.5098199,5269.996203,2994.787342
483794,1,149.07,0,149.07,0,20,764.3114428,569.1452736,316.9741294,531.7074627,1283.778109,1512.400995,1506.644776,1649.563184,642.5432836,263.5243781,7402.60101,4286.633838
483795,1,186.28,0,186.28,0,20,750.1571572,554.7387387,309.3373373,503.036036,1170.132132,1386.417417,1364.094094,1487.534535,587.048048,247.2372372,7263.377382,4325.559085
483796,1,232.81,13.29,219.52,0,20,769.906,568.939,314.672,504.103,1241.524,1529.231,1512.46,1672.362,610.607,248.442,6639.697468,3809.449367
483797,1,182.58,8.07,174.51,0,20,749.338,551.205,301.036,522.228,1390.075,1618.286,1553.399,1836.243,644.69,256.813,11100.05177,4678.430556
483800,1,290.4,0,290.4,0,20,760.5753012,541.1174699,314.2690763,471.3413655,1232.312249,1519.2249,1435.346386,1624.704819,485.5682731,178.5381526,8834.622117,4991.027671
483801,1,307.7,307.7,0,0,20,783.631,587.502,341.924,541.955,1431.99,1732.303,1674.349,1918.046,719.045,299.852,7184.737107,3817.710692
